ページ タイトル,ページパス + クエリ文字列,表示回数
"α-Synuclein Fibrils , Human（CSR-SYN03-0.1MG）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=16366718&ServerKey=Primary&selPrice=1,2
NGF 2.5S（ALO-N240-10UG）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1645359&ServerKey=Primary&selPrice=1,2
Oil Red O Stain Kit（PSI-25962250-250ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16466393&ServerKey=Primary&selPrice=1,2
CYTO-ID<sup>(R)</sup> Autophagy detection kit 2.0（ENZ-ENZKIT1750050-50TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16513559&ServerKey=Primary&selPrice=1,2
Fluo-4 AM *Ultrapure Grade*（ABD-20551-10*50UG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16535111&ServerKey=Primary&selPrice=1,2
"Fluo-4, Pentapotassium Salt（ABD-20556-10*50UG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=16535114&ServerKey=Primary&selPrice=1,2
Cell Navigator<sup>(R)</sup> Live Cell RNA Imaging Kit *Green Fluorescence*（ABD-22630-100TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16535130&ServerKey=Primary&selPrice=1,2
Cell Navigator<sup>(R)</sup> Live Cell Endoplasmic Reticulum (ER) Staining Kit *Red Fluorescence*（ABD-22636-100TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16535132&ServerKey=Primary&selPrice=1,2
Fecal Calprotectin Rapid ELISA kit（HCB-HK382-1*96WELL）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16606551&ServerKey=Primary&selPrice=1,2
EUKITT<sup>(R)</sup>（ORS-6000100010601EN-500ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16632861&ServerKey=Primary&selPrice=1,2
IndelCheck<sup>TM</sup> CRISPR/TALEN indel detection system advanced（GCP-IC001-50RXN）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16685425&ServerKey=Primary&selPrice=1,2
Secrete-Pair<sup>TM</sup> Dual Luminescence Assay Kit（GCP-LF031-100RXN）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16685431&ServerKey=Primary&selPrice=1,2
"SpongeCol<sup>(R)</sup> Collagen Sponges, Columnar Pore Architecture, 4 mm Diameter Discs（ADM-513525EA-25PACK）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=16807282&ServerKey=Primary&selPrice=1,2
"CytoSoft<sup>(R)</sup> 6-well Plate, Elastic Modulus 32 kPa（ADM-51445EA-5PLATE）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=16807289&ServerKey=Primary&selPrice=1,2
Efficient Biotinylation E.coli B Strain AVB101（AVI-AVB101-1VIAL[1_バイアル(0.5_mL)]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1684242&ServerKey=Primary&selPrice=1,2
CML（IRS-HAA29500250-250MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16843555&ServerKey=Primary&selPrice=1,2
"BALB/c Mouse Bone Marrow Cells, 10M（IQB-IQBMBM101-1VIAL[10x10^6 cells]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=16843619&ServerKey=Primary&selPrice=1,2
SiR700-Actin Kit（CYT-CYSC013-1KIT[35-200 slides]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16848496&ServerKey=Primary&selPrice=1,2
NADP+/NADPH Assay Kit（CBL-MET5018-1KIT[100 assays]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16848516&ServerKey=Primary&selPrice=1,2
DipFit Cryptosporidium sp（BOX-BIOK387-10TEST[10 rapid test strips]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16848664&ServerKey=Primary&selPrice=1,2
"Nitrate test kit, tube (Standard)（NEC-NTKTTSR25-25TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17076375&ServerKey=Primary&selPrice=1,2
Anti NeuN（PGI-269751AP-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17077174&ServerKey=Primary&selPrice=1,2
Anti TUBB3-specific/TUJ1（PGI-663751IG-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17077198&ServerKey=Primary&selPrice=1,2
SensoLyte<sup>(R)</sup> Anti-alpha-Synuclein (Human) ELISA Kit（ASI-AS55550H-1KIT）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17081663&ServerKey=Primary&selPrice=1,2
"Antigen Retrieval Reagent, pH 9 (10X)（ENZ-ENZACC1130100-100ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17084194&ServerKey=Primary&selPrice=1,2
Secrete-Pair<sup>TM</sup> Gaussia Luminescence Assay Kit（GCP-LF062-1000RXN）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17095419&ServerKey=Primary&selPrice=1,2
A-172 (Human Brain Glioblastoma cell line) for Academic user（CLI-300108ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105289&ServerKey=Primary&selPrice=1,2
"CCRF-CEM (Human Hematopoiesis Leukemia, acute lymphocytic cell line) for Academic user（CLI-300147ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17105337&ServerKey=Primary&selPrice=1,2
"HT-29 (Human Colon Adenocarcinoma, G II cell line) for Academic user（CLI-300215ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17105386&ServerKey=Primary&selPrice=1,2
KG-1A (Human acute myelocytic leukemia (AML) cell line) for Academic user（CLI-300234ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105403&ServerKey=Primary&selPrice=1,2
RPMI-2650 (Human Nasal squamous carcinoma cell line) for Academic user（CLI-300323ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105464&ServerKey=Primary&selPrice=1,2
U-937 (Human Lymphoma cell line) for Academic user（CLI-300368ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105507&ServerKey=Primary&selPrice=1,2
NCI-H295R (Human Adrenal gland carcinoma cell line) for Academic user（CLI-300483ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105565&ServerKey=Primary&selPrice=1,2
CLS-103 (Murine Stomach Squamous cell Carcinoma cell line) for Academic user（CLI-400176ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105613&ServerKey=Primary&selPrice=1,2
"J-774A.1 (Murine Hematopoiesis Macrophage, monocytic cell line) for Academic user（CLI-400220ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17105631&ServerKey=Primary&selPrice=1,2
RAW-264.7 (Murine Leukemia macrophage cell line) for Academic user（CLI-400319ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105646&ServerKey=Primary&selPrice=1,2
RenCa (Murine Renal carcinoma cell line) for Academic user（CLI-400321ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105647&ServerKey=Primary&selPrice=1,2
Hepa 1-6 (Murine Liver cell line) for Academic user（CLI-400474ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105674&ServerKey=Primary&selPrice=1,2
Sp2/0-Ag14 (Murine Hematopoiesis myeloma cell line) for Academic user（CLI-400481ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105677&ServerKey=Primary&selPrice=1,2
SVI (Murine Kidney podocyte cell line) for Academic user（CLI-400495ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105680&ServerKey=Primary&selPrice=1,2
CCL5 ELISA Kit（PGI-KE10017-1KIT[96assay]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105836&ServerKey=Primary&selPrice=1,2
Detergent-free Exosomal Protein Extraction Kit（OBL-P201-10RXN）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17186247&ServerKey=Primary&selPrice=1,2
miniPURE-EVs: Size exclusion chromatography column（HNB-HBMMPEV10-10COLUMN）（カテゴリ：miRNA研究） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17206297&ServerKey=Primary&selPrice=1,2
Genomic DNA - Rat Normal Tissue: Liver（BCH-D1434149-100UG）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1738479&ServerKey=Primary&selPrice=1,2
CNM Compartmental Protein Extraction Kit（BCH-K3012010-1KIT）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1739025&ServerKey=Primary&selPrice=1,2
MicroRNA Isolation Kit（BCH-KS341025-1KIT）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1739120&ServerKey=Primary&selPrice=1,2
Total Protein - Mouse Normal Tissue: Adipose（BCH-P1334003-1MG）（カテゴリ：生体試料） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1740346&ServerKey=Primary&selPrice=1,2
Paraffin Tissue Section - Human Adult Normal: Adipose（BCH-T2234003-5SLIDE）（カテゴリ：生体試料） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1745064&ServerKey=Primary&selPrice=1,2
Paraffin Tissue Section - Human Adult Normal: Skin（BCH-T2234218-5SLIDE）（カテゴリ：生体試料） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1745226&ServerKey=Primary&selPrice=1,2
Lung Tumor and Normal Tissue Array 60 spots: Duplicated spots from lung tumor tissues (25 donors) and lung normal tiss（BCH-T82357325-5SLIDE）（カテゴリ：生体試料） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1746429&ServerKey=Primary&selPrice=1,2
"Lentiviral Packaging Kits（ORG-TR30037-10RXN）（カテゴリ：siRNA, shRNAベクター） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17472465&ServerKey=Primary&selPrice=1,2
Calcium Assay Kit（BCH-Z5030014-500ASSAY）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1747481&ServerKey=Primary&selPrice=1,2
Urea Assay Kit（BCH-Z5030016-500ASSAY）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1747483&ServerKey=Primary&selPrice=1,2
Megamix（BCT-7801-1KIT[50 tests]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1748182&ServerKey=Primary&selPrice=1,2
Branched Chain Amino Acid Assay Kit（CBL-MET5056-192ASSAY）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17509084&ServerKey=Primary&selPrice=1,2
cfPure<sup>(R)</sup> Cell Free DNA Extraction Kit（BCH-K5011610-1KIT[100 ｍL]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17509720&ServerKey=Primary&selPrice=1,2
CML-d4（IRS-HAA29520005-5MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17511460&ServerKey=Primary&selPrice=1,2
MG-H2（IRS-HAA33200010-10MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17511527&ServerKey=Primary&selPrice=1,2
Anti ZO-1（PGI-664521IG-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17513306&ServerKey=Primary&selPrice=1,2
2-Deoxyglucose (2DG) Uptake Measurement Kit（CSR-OKPPMGK01H-1KIT[25TEST]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17538478&ServerKey=Primary&selPrice=1,2
Anti EGFR（PGI-664551IG-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17556349&ServerKey=Primary&selPrice=1,2
"Anti BCL10, Trial Size: 20 UL（PGI-177321AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17564388&ServerKey=Primary&selPrice=1,2
"Anti Sclerostin, Trial Size: 20 UL（PGI-219331AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17566075&ServerKey=Primary&selPrice=1,2
"Anti NeuN, Trial Size: 20 UL（PGI-269751AP-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17567764&ServerKey=Primary&selPrice=1,2
"Anti IL-10, Trial Size: 20 UL（PGI-602691IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17568305&ServerKey=Primary&selPrice=1,2
"Anti Vimentin, Trial Size: 20 UL（PGI-603301IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17568353&ServerKey=Primary&selPrice=1,2
"Anti Apolipoprotein H, Trial Size: 20 UL（PGI-660741IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17568441&ServerKey=Primary&selPrice=1,2
"Anti INS, Trial Size: 20 UL（PGI-661981IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17568549&ServerKey=Primary&selPrice=1,2
"Anti GLUT1, Trial Size: 20 UL（PGI-662901IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17568632&ServerKey=Primary&selPrice=1,2
"Anti PGC1a, Trial Size: 20 UL（PGI-663691IG-20UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17568706&ServerKey=Primary&selPrice=1,2
SMCC-DM1（MCH-HY101070-10MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17682834&ServerKey=Primary&selPrice=1,2
"NucSpot<sup>(R)</sup> Live 650, 1000X in DMSO（BTI-40082-50UL）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17849594&ServerKey=Primary&selPrice=1,2
"DR4 MEF, P2, untreated（ASC-ASF1001-1VIAL[1 vial of 1 x 10^6 cells]）（カテゴリ：受託サービス） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17989135&ServerKey=Primary&selPrice=1,2
"Polystyrene Fluorescent Microspheres Continued, Plum Purple（BAN-FSPP005-1ML）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=17990372&ServerKey=Primary&selPrice=1,2
Polystyrene Carboxyl Microspheres Continued（BAN-PC02011-0.5G）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17990474&ServerKey=Primary&selPrice=1,2
Polystyrene Plain (Hydrophobic) Microspheres Continued（BAN-PS07003-0.5G）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17990650&ServerKey=Primary&selPrice=1,2
Anti CD81（CAC-SHIEXOM03TF2-100UL[1 mg / mL]）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17990846&ServerKey=Primary&selPrice=1,2
Keratinocyte Medium-defined（SCR-2111-20*500ML）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17990862&ServerKey=Primary&selPrice=1,2
Iberdomide（MCH-HY101291-2MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17990957&ServerKey=Primary&selPrice=1,2
Refill packet of 500 cassette papers（BRP-6605-1SET[1_セット]）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1800677&ServerKey=Primary&selPrice=1,2
Coelenterazine HCP（BTI-101132-250UG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1806436&ServerKey=Primary&selPrice=1,2
"Lumitein<sup>TM</sup> PROTEIN GEL STAIN, 1X（BTI-21001-200ML）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1806496&ServerKey=Primary&selPrice=1,2
MTT Cell Viability Assay Kit（BTI-30006-1KIT[1000 Assays]）（カテゴリ：タンパク質、糖類、ホルモン） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1806522&ServerKey=Primary&selPrice=1,2
CellBrite<sup>TM</sup> Blue Cytoplasmic Membrane-Labeling Kit（BTI-30024-1KIT）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1806574&ServerKey=Primary&selPrice=1,2
Hoechst 33342（BTI-40047-100MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1806632&ServerKey=Primary&selPrice=1,2
"Rhod-2, AM Ester（BTI-50024-1MG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1806679&ServerKey=Primary&selPrice=1,2
Anti Recoverin（PGI-665211IG-150UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18080053&ServerKey=Primary&selPrice=1,2
Calbryte<sup>TM</sup> 630 AM（ABD-20720-2*50UG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18092701&ServerKey=Primary&selPrice=1,2
Calbryte<sup>TM</sup> 630 AM（ABD-20721-10*50UG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18092702&ServerKey=Primary&selPrice=1,2
ICG Xtra-OSu（ABD-186-1MG）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18095449&ServerKey=Primary&selPrice=1,2
ReadiPrep<sup>TM</sup> Mitochondrial/Cytoplasmic Fractionation Kit（ABD-60005-50TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18095518&ServerKey=Primary&selPrice=1,2
Small RNA-Seq Library Prep Kit for Illumina（LEX-05208-8PREP.）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18096542&ServerKey=Primary&selPrice=1,2
"Fluo-4, Pentapotassium Salt（BTI-50019-0.5MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18103724&ServerKey=Primary&selPrice=1,2
Brown Adipocyte（PMC-BAT10C-1VIAL[1.0 x 10<sup>6</sup>cells]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18207334&ServerKey=Primary&selPrice=1,2
PAGE min vertical electrophoresis Unit for Ready Made Gels i-MyRun.P（CBJ-IMR006-1UNIT）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1825930&ServerKey=Primary&selPrice=1,2
Power Supply for i-MyRun（CBJ-IMR201-1SET）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1825954&ServerKey=Primary&selPrice=1,2
"CytoSelect<sup>TM</sup> 24-well Cell Migration Assay (8 μm), Colorimetric（CBL-CBA100-1KIT[12 assays]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1826420&ServerKey=Primary&selPrice=1,2
pMYs-IRES-GFP Retroviral Vector（CBL-RTV021-10UG）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826500&ServerKey=Primary&selPrice=1,2
pMX-GFP Retroviral Control Vector（CBL-RTV050-10UG）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826505&ServerKey=Primary&selPrice=1,2
"Platinum-GP Retroviral Packaging Cell Line, Pantropic（CBL-RV103-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1826563&ServerKey=Primary&selPrice=1,2
OxiSelect<sup>TM</sup> Oxidative DNA Damage ELISA Kit (8-OHdG Quantitation) (1 plate)（CBL-STA320-96ASSAY）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826580&ServerKey=Primary&selPrice=1,2
ROCK Activity Immunoblot Kit（CBL-STA415-20ASSAY）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826602&ServerKey=Primary&selPrice=1,2
96-Well ROCK Activity Assay Kit（CBL-STA416-96ASSAY）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826603&ServerKey=Primary&selPrice=1,2
QuickTiter<sup>TM</sup> Lentivirus Titer Kit (Lentivirus-Associated p24 ELISA)（CBL-VPK107-96ASSAY）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826635&ServerKey=Primary&selPrice=1,2
Lympholyte<sup>(R)</sup>-M Cell Separation Media（CL-CL5031-100ML）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1831914&ServerKey=Primary&selPrice=1,2
Lympholyte<sup>(R)</sup>-Mammal Cell Separation Media（CL-CL5110-5*30ML）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1831947&ServerKey=Primary&selPrice=1,2
RNase R（APB-E049-500UNIT[50 ul]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18337459&ServerKey=Primary&selPrice=1,2
HIENAI Mat 01R（PMC-HMAT01R-1PC）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18338292&ServerKey=Primary&selPrice=1,2
Pentosidine (TFA salt)（IRS-HAA30300002-2MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18585341&ServerKey=Primary&selPrice=1,2
"Chemotaxicell, 3.0μm（KRB-CH324-100PC）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18617894&ServerKey=Primary&selPrice=1,2
VH-298（MCH-HY100947-2MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18618637&ServerKey=Primary&selPrice=1,2
Vedolizumab（MCH-HYP9911-1MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18618987&ServerKey=Primary&selPrice=1,2
Glucose-6-Phosphate Dehydrogenase (G6PDH) Activity Assay Kit（CBL-MET5081-100ASSAY）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18677499&ServerKey=Primary&selPrice=1,2
Peptide YY ELISA Kit（ENZ-ENZKIT1330001-96WELL）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=10754565&ServerKey=Primary&selPrice=1,2
"IL-1β, ELISA kit（ENZ-ADI900130A-96WELL）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=18689660&ServerKey=Primary&selPrice=1,2
Nick Translation DNA Labeling System 2.0（ENZ-ENZGEN1110050-50TEST）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=18689897&ServerKey=Primary&selPrice=1,2
